plan_time,runway,peaknew,gatenew,distance,NewPushA,NewPushBa,NewPushoutB,append2_res,append1_res
2016/2/5 12:45,35,0,112,35112,10,20,19.19009434,4,10
2016/2/5 12:45,34,0,19,3419,18,32,18.4507728,7,15
2016/2/5 12:45,34,1,215,34215,18,40,18.45616534,18,18
2016/2/5 12:50,35,2,30,3530,6,10,18.65345758,8,5
2016/2/5 12:50,35,1,227,35227,6,17,18.61857923,7,7
2016/2/5 12:50,34,0,191,34191,16,34,18.26177249,11,18
2016/2/5 12:50,34,1,36,3436,21,42,18.45853558,15,20
2016/2/5 12:50,34,0,211,34211,17,38,18.26050309,12,20
2016/2/5 12:55,34,1,208,34208,17,36,18.56082103,15,15
2016/2/5 12:55,34,1,209,34209,18,40,18.6057759,14,17
2016/2/5 13:00,35,0,37,3537,3,10,18.26050309,6,4
2016/2/5 13:00,35,1,232,35232,9,18,18.6057759,5,6
2016/2/5 13:00,34,0,151,34151,14,28,18.84359177,5,14
2016/2/5 13:00,34,1,139,34139,15,30,18.35427589,12,16
2016/2/5 13:00,34,0,10,3410,19,36,19.14106792,8,19
2016/2/5 13:05,34,0,172,34172,14,28,18.11745045,6,15
2016/2/5 13:05,34,1,146,34146,16,32,18.36162233,13,17
2016/2/5 13:05,34,0,13,3413,18,39,18.26050309,12,21
2016/2/5 13:10,35,0,201,35201,7,15,17.98131107,3,8
2016/2/5 13:15,34,2,190,34190,7,23,19.28304204,10,14
2016/2/5 13:15,34,0,224,34224,15,28,18.32114198,5,15
2016/2/5 13:15,34,0,225,34225,18,29,19.19674892,5,16
2016/2/5 13:20,35,2,117,35117,5,7,19.56113102,3,3
2016/2/5 13:20,35,0,230,35230,13,24,18.56063626,5,12
2016/2/5 13:20,34,0,168,34168,15,30,18.79109723,6,15
2016/2/5 13:20,34,2,182,34182,8,23,19.57070064,8,16
2016/2/5 13:25,35,0,205,35205,13,24,19.19009434,5,13
2016/2/5 13:25,34,0,34,3434,18,34,18.71856311,7,18
2016/2/5 13:30,35,2,234,35234,10,19,19.52404394,6,11
2016/2/5 13:30,35,2,121,35121,12,25,19.36474536,6,13
2016/2/5 13:30,34,2,222,34222,14,29,19.2960968,10,19
2016/2/5 13:30,34,0,17,3417,17,39,19.2473766,11,23
2016/2/5 13:35,35,2,169,35169,13,20,16.17021035,10,8
2016/2/5 13:35,34,0,236,34236,14,26,19.23645914,5,13
2016/2/5 13:35,34,2,231,34231,11,30,19.57070064,11,19
2016/2/5 13:40,34,2,24,3424,17,40,19.458901,18,21
2016/2/5 13:40,34,2,144,34144,14,36,19.57070064,16,22
2016/2/5 13:45,35,2,40,3540,7,12,18.70768856,9,7
