plan_time,runway,peaknew,gatenew,NewPushA,NewPushBa,NewPushoutB,append2_res,append1_res,
49200,34,3,33,11,21,18.47756598,12,10,
49200,34,2,142,7,20,19.47121972,5,13,
49500,35,2,39,9,17,18.37336778,14,4,
49500,34,2,192,7,15,18.59030512,15,7,
49500,34,2,138,10,21,18.4512301,19,7,
49800,35,2,112,8,16,18.73246177,13,7,
49800,35,2,193,7,14,19.03120869,10,10,
49800,35,2,38,7,15,19.36449788,8,10,
50100,35,2,195,4,10,19.40970874,5,7,
50100,35,2,146,7,16,19.21481836,10,10,
50100,34,2,148,11,23,18.44250569,18,10,
50400,34,2,35,6,12,18.7931154,10,7,
50400,34,4,27,7,20,17.37074592,15,10,
51000,34,2,237,5,12,18.59030512,14,7,
51000,35,2,170,7,16,18.59064643,16,7,
51000,34,2,24,7,14,18.65345758,12,7,
51300,34,2,199,8,12,16.11040828,8,4,
51300,34,2,202,9,17,18.49929011,16,7,
51300,34,2,185,9,18,18.46336439,16,7,
51600,34,2,79,13,24,18.54471313,19,10,
51600,34,2,190,10,21,18.5396862,19,10,
51600,34,3,16,8,20,17.65830158,15,13,
51900,35,3,18,6,9,18.08552837,6,4,
51900,34,2,144,10,22,18.62355471,18,7,
51900,34,3,37,11,25,18.3140625,18,13,
52200,34,2,11,9,22,18.50451866,22,7,
52500,34,2,115,10,20,18.54932021,17,10,
52800,34,3,222,8,21,18.3140625,18,10,
52800,35,3,166,9,14,17.68966986,7,10,
52800,34,3,171,13,22,18.24152977,14,13,
53100,35,2,15,4,12,16.38666031,7,7,
53100,34,3,168,6,15,17.65830158,15,10,
53100,34,3,182,12,24,18.30128617,13,10,
53400,35,3,228,4,10,17.70388711,4,4,
53400,34,3,36,11,18,18.16257158,12,10,
53700,34,4,207,4,14,17.59175141,14,10,
53700,34,3,1,10,18,17.92275355,13,13,
54000,34,3,55,9,16,17.73413849,10,10,
54600,34,4,226,5,16,17.43932519,11,10,
54900,34,4,224,4,14,17.59175141,12,7,
54900,34,4,231,5,15,17.06153355,13,7,
55200,34,2,191,8,22,16.15887349,11,10,
55200,34,4,161,5,18,17.27620447,12,10,
55800,34,4,206,7,11,16.95263514,9,4,
55800,34,4,203,8,13,16.83063123,12,7,
55800,35,4,204,17,23,16.27619904,15,13,
56100,35,2,150,1,7,16.08475771,8,4,
56100,34,2,236,7,12,16.2,6,4,
56100,34,4,35,6,9,16.25039039,9,4,
56100,34,2,34,7,16,16.10296367,7,7,
56100,35,2,136,14,21,16.2,12,10,
56400,35,2,117,9,15,16.01899802,4,4,
56400,35,2,195,7,21,16.1010596,12,10,
56400,35,2,37,10,21,16.47257994,9,13,
56700,35,2,9,6,12,16.16915939,6,4,
56700,35,2,118,6,11,16.17030335,4,4,
57000,35,2,40,9,24,16.15887349,13,10,
57000,35,2,237,11,21,16.03806043,15,13,
57300,34,2,234,2,8,16.08475771,10,4,
57300,35,2,119,4,13,16.15887349,4,4,
57300,35,2,146,14,25,16.03806043,15,13,
57300,35,2,233,15,28,16.09166667,17,16,
57600,34,2,65,10,13,16.19228188,7,7,
57600,34,2,194,7,16,16.28688097,11,7,
57600,34,2,141,5,12,16.63287671,7,10,
57900,35,2,10,5,9,16.60877828,6,4,
57900,35,1,227,7,14,16.82198403,8,7,
57900,34,1,172,10,20,16.79124444,14,10,
57900,35,2,215,16,30,16.10296367,19,19,
58200,34,2,139,5,11,16.53633568,7,7,
58200,34,2,16,5,14,16.41176749,9,10,
58200,34,2,143,12,34,17.97574328,10,16,
58500,35,4,219,4,6,19.92049062,3,4,
58500,34,2,74,6,12,16.53633568,8,10,
58500,35,2,223,5,13,16.63798165,8,10,
58500,35,2,38,10,20,16.42827341,8,13,
58800,34,2,190,10,16,17.30585263,8,4,
58800,34,2,111,10,20,17.12700334,8,7,
58800,35,2,12,4,12,16.41507607,8,7,
