plantime,runway,airline,destination,REG,peak,gate,cat,distance,meantime_taxi_number,mean_taxi_time,land_takeoff_number,time
2016/5/6 9:00,34,39,60,518,10,181,8,34181,14,15.38206549,31,11
2016/5/6 9:05,35,17,7,3269,9,172,42,35172,46,16.67612328,40,38.6
2016/5/6 9:05,17,38,158,840,9,115,30,17115,57,16.51780523,20,36
2016/5/6 9:05,35,22,143,2129,9,138,25,35138,30,17.04793187,13,30.6
2016/5/6 9:05,16,26,48,1886,9,141,12,16141,15,17.3492126,35,15.1
2016/5/6 9:05,16,26,76,1787,9,14,12,1614,27,16.67612328,37,14.9
2016/5/6 9:10,16,26,50,2222,9,119,9,16119,26,16.89721086,16,18.1
2016/5/6 9:10,16,26,75,2022,9,124,8,16124,27,16.81298557,19,16.6
2016/5/6 9:10,16,22,50,2444,9,202,9,16202,25,16.55064504,15,15.8
2016/5/6 9:15,34,26,161,2353,9,120,8,34120,13,17.35733902,28,20.1
2016/5/6 9:20,35,31,8,907,4,74,42,3574,25,17.18374506,20,21.9
2016/5/6 9:20,16,38,46,603,9,37,25,1637,18,17.18882106,14,14.8
2016/5/6 9:20,16,34,100,481,9,179,8,16179,11,17.3492126,19,12.7
2016/5/6 9:25,34,38,212,851,9,170,25,34170,6,17.52842105,13,13.4
2016/5/6 9:30,34,26,67,2109,9,85,7,3485,22,16.90393738,14,21.3
2016/5/6 9:30,34,26,60,2104,9,140,7,34140,13,16.90393738,24,13.6
2016/5/6 9:40,34,26,59,2084,9,149,7,34149,22,17.04793187,22,19.1
2016/5/6 9:45,34,22,212,2329,9,237,8,34237,20,17.28791209,11,16.8
2016/5/6 9:50,34,46,47,2791,9,160,9,34160,5,17.07993114,18,13.9
2016/5/6 9:50,34,46,56,2628,9,210,8,34210,15,17.38192363,6,13.8
2016/5/6 9:55,35,37,224,1791,9,169,13,35169,28,15.83783632,19,27.1
2016/5/6 9:55,35,26,122,2620,9,31,12,3531,20,15.17930295,14,21.9
2016/5/6 9:55,34,22,60,2302,9,209,9,34209,13,16.90393738,7,9.8
2016/5/6 10:00,34,22,48,2136,9,180,13,34180,24,16.89358289,25,20.6
2016/5/6 10:05,34,26,56,1485,9,19,25,3419,22,17.06303419,31,21.2
2016/5/6 10:10,34,101,45,949,9,224,9,34224,16,17.06303419,19,13.7
2016/5/6 10:15,34,12,48,3648,9,222,40,34222,16,17.20732553,16,14.8
2016/5/6 10:20,34,34,60,521,9,178,8,34178,21,17.37184293,27,27.7
2016/5/6 10:20,34,26,100,2159,9,147,8,34147,11,17.04640235,11,22.6
2016/5/6 10:20,35,26,172,1815,9,195,8,35195,15,15.99075786,37,13.3
2016/5/6 10:30,35,31,122,911,4,68,46,3568,8,16.56103203,14,15.8
2016/5/6 10:30,35,42,141,1286,9,16,25,3516,11,17.68380443,9,12.6
2016/5/6 10:35,34,38,212,1656,9,113,25,34113,17,15.21190865,6,15.9
2016/5/6 10:45,35,26,147,863,9,201,25,35201,22,15.32124874,22,25.6
2016/5/6 10:45,34,39,240,1995,9,146,9,34146,21,16.22905226,14,16.3
2016/5/6 10:50,35,38,193,1739,9,114,24,35114,15,15.32124874,11,13.1
2016/5/6 10:55,34,38,233,587,9,22,24,3422,19,15.13876464,13,16.6
2016/5/6 10:55,34,26,190,2670,9,111,9,34111,15,15.32124874,11,14.9
2016/5/6 11:00,35,18,6,3074,4,77,47,3577,12,18.1282433,7,10.3
2016/5/6 11:00,35,39,186,1831,10,142,7,35142,9,18.71856311,9,7.4
2016/5/6 11:05,35,37,216,2360,9,152,9,35152,16,16.35558559,18,18.8
2016/5/6 11:05,34,26,240,2107,9,148,7,34148,2,16.28269987,11,11
2016/5/6 11:05,35,26,181,2801,9,20,8,3520,2,16.28269987,8,9.4
2016/5/6 11:10,35,26,216,496,9,0,8,350,13,16.24069401,12,13.7
2016/5/6 11:15,35,58,143,2599,9,207,8,35207,9,16.57933785,15,22.8
2016/5/6 11:15,34,56,190,1512,9,121,25,34121,14,16.35558559,11,13.3
2016/5/6 11:30,34,38,231,1331,9,18,24,3418,18,17.71777778,10,18.5
2016/5/6 11:30,34,65,100,2897,9,172,13,34172,15,17.68380443,11,15.5
2016/5/6 11:35,35,41,161,2459,9,235,10,35235,26,17.8415088,16,22.1
2016/5/6 11:35,34,46,240,2480,9,159,8,34159,19,17.48611929,10,15.1
2016/5/6 11:40,34,26,19,885,9,12,43,3412,7,16.34157442,11,19.3
2016/5/6 11:40,35,112,7,3254,9,223,50,35223,7,16.34157442,11,19.1
2016/5/6 11:40,34,33,100,2815,4,57,33,3457,9,17.51741911,9,14.9
2016/5/6 11:45,35,22,4,2149,9,199,12,35199,8,16.49892259,13,21.5
2016/5/6 11:45,35,37,224,2137,9,180,12,35180,10,17.15341803,8,12.2
2016/5/6 11:50,35,22,224,2192,9,227,9,35227,15,16.79124444,13,15.9
2016/5/6 11:50,34,39,235,1953,9,203,7,34203,23,18.32114198,16,12.2
2016/5/6 11:55,35,75,184,2125,9,138,25,35138,22,18.59866617,15,19.5
2016/5/6 11:55,35,35,216,977,9,112,8,35112,11,17.18623108,9,17.6
2016/5/6 12:00,35,83,198,3542,9,61,40,3561,34,18.56063626,9,21.9
2016/5/6 12:00,34,20,0,914,4,49,46,3449,15,17.66305855,22,16.6
2016/5/6 12:00,35,41,198,1590,10,76,25,3576,8,17.70388711,10,10.6
2016/5/6 12:10,34,26,2,878,9,27,43,3427,19,17.61490015,8,17.7
2016/5/6 12:15,34,26,47,1888,9,58,12,3458,43,18.08575788,33,36.4
2016/5/6 12:20,35,42,138,608,9,111,25,35111,19,17.48611929,10,15.6
2016/5/6 12:25,34,46,50,2470,9,229,8,34229,29,17.52517162,18,24.8
2016/5/6 12:25,34,43,240,853,9,152,25,34152,22,18.53266243,19,20.4
2016/5/6 12:30,35,22,216,1563,9,226,25,35226,17,17.73858921,13,15.9
2016/5/6 12:30,34,39,239,1975,9,146,8,34146,17,18.44668085,12,12.9
2016/5/6 12:35,34,26,50,1899,9,19,25,3419,21,18.34655405,17,22.9
2016/5/6 12:35,35,58,210,1148,9,205,52,35205,22,18.22642074,14,20.7
2016/5/6 12:35,35,20,4,916,4,51,47,3551,21,17.74668271,9,18.3
2016/5/6 12:35,35,26,24,1804,9,17,12,3517,11,18.56082103,20,12.4
2016/5/6 12:40,34,26,76,2146,9,30,12,3430,14,18.56122449,12,12.3
2016/5/6 12:40,35,26,127,1785,9,2,12,352,21,18.56063626,15,12.2
2016/5/6 12:45,34,34,76,2310,9,209,8,34209,17,18.61966114,15,17.1
2016/5/6 12:45,35,30,181,1236,9,230,25,35230,23,17.98131107,15,14.1
2016/5/6 12:50,34,29,203,2681,9,236,8,34236,20,19.56113102,15,17.5
2016/5/6 12:50,35,41,161,1588,9,231,25,35231,16,15.72838378,16,15.9
2016/5/6 12:50,34,34,241,724,9,168,8,34168,25,18.03663934,13,15.4
2016/5/6 13:00,34,65,100,2862,9,171,8,34171,28,19.19009434,21,21.6
2016/5/6 13:00,34,26,18,887,9,15,43,3415,18,18.36162233,11,15.9
2016/5/6 13:00,35,26,7,1796,9,32,12,3532,10,19.36474536,12,11.9
2016/5/6 13:05,34,12,48,3732,9,221,49,34221,15,18.26177249,8,11.8
2016/5/6 13:05,35,38,145,1650,9,149,25,35149,8,18.88805031,7,6.4
